dowgin,8286,773(9.33%),879(10.61%),1183(14.28%),4306(51.97%),1145(13.82%)
smsspy,1863,325(17.44%),290(15.57%),319(17.12%),317(17.02%),612(32.85%)
hiddad,8389,1322(15.76%),1814(21.62%),1375(16.39%),2767(32.98%),1111(13.24%)
triada,9043,671(7.42%),892(9.86%),1135(12.55%),2991(33.08%),3354(37.09%)
mecor,1519,1507(99.21%),11(0.72%),0(0.00%),1(0.07%),0(0.00%)
skymobi,7494,1098(14.65%),1624(21.67%),1171(15.63%),1756(23.43%),1845(24.62%)
dnotua,8295,441(5.32%),533(6.43%),474(5.71%),1645(19.83%),5202(62.71%)
fusob,449,127(28.29%),78(17.37%),32(7.13%),141(31.40%),71(15.81%)
youmi,6982,989(14.16%),1180(16.90%),926(13.26%),2015(28.86%),1872(26.81%)
fakeinst,800,293(36.62%),28(3.50%),18(2.25%),127(15.88%),334(41.75%)
smspay,10515,1135(10.79%),1186(11.28%),1198(11.39%),2508(23.85%),4488(42.68%)
artemis,4939,446(9.03%),412(8.34%),403(8.16%),1652(33.45%),2026(41.02%)
airpush,10731,2232(20.80%),1532(14.28%),1627(15.16%),2856(26.61%),2484(23.15%)
secapk,866,464(53.58%),167(19.28%),101(11.66%),131(15.13%),3(0.35%)
hiddenapp,6418,1199(18.68%),839(13.07%),589(9.18%),3422(53.32%),369(5.75%)
waps,5724,875(15.29%),965(16.86%),859(15.01%),1762(30.78%),1263(22.06%)
kuguo,6635,1107(16.68%),1315(19.82%),1103(16.62%),1699(25.61%),1411(21.27%)
plankton,4128,675(16.35%),978(23.69%),537(13.01%),716(17.34%),1222(29.60%)
lotoor,2447,397(16.22%),492(20.11%),324(13.24%),591(24.15%),643(26.28%)
smsreg,16797,2144(12.76%),3037(18.08%),3524(20.98%),4988(29.70%),3104(18.48%)
shedun,72,11(15.28%),21(29.17%),7(9.72%),33(45.83%),0(0.00%)
opfake,446,35(7.85%),50(11.21%),45(10.09%),257(57.62%),59(13.23%)
boxer,160,99(61.88%),52(32.50%),1(0.62%),8(5.00%),0(0.00%)
wapsx,5520,566(10.25%),954(17.28%),708(12.83%),1455(26.36%),1837(33.28%)
utchi,545,182(33.39%),105(19.27%),67(12.29%),162(29.72%),29(5.32%)
adwo,6969,1128(16.19%),1892(27.15%),1406(20.18%),1661(23.83%),882(12.66%)
appquanta,1000,969(96.90%),27(2.70%),0(0.00%),0(0.00%),4(0.40%)
hiddenads,3999,248(6.20%),215(5.38%),173(4.33%),419(10.48%),2944(73.62%)
smforw,2366,544(22.99%),231(9.76%),192(8.11%),239(10.10%),1160(49.03%)
admogo,4403,392(8.90%),541(12.29%),430(9.77%),2608(59.23%),432(9.81%)
