dowgin,561,2012-06-01 16:37:55 -> 2013-11-12 13:48:13,561,2013-11-12 13:48:18-2013-11-14 08:00:18,0.23283582089552238,54,281,24
smsspy,54,2012-03-23 03:50:30 -> 2014-01-20 14:59:39,54,2014-01-30 00:12:19-2014-06-06 17:17:24,2.619047619047619,3,39,107
hiddad,69,2015-11-09 10:59:55 -> 2016-12-29 16:13:43,69,2017-01-03 06:00:51-2017-08-25 23:08:37,0.44308943089430897,54,192,55
triada,277,2015-01-24 18:31:56 -> 2016-03-05 12:43:43,277,2016-03-05 12:44:31-2017-10-20 01:00:32,0.32362459546925565,45,264,55
mecor,163,2013-09-11 12:25:02 -> 2014-06-12 05:15:33,163,2014-06-12 05:17:36-2014-06-30 07:22:41,0.02857142857142857,1,34,0
skymobi,153,2013-05-25 08:49:10 -> 2014-07-04 04:48:11,153,2014-07-06 01:40:12-2014-10-08 15:28:31,0.23843416370106763,31,250,36
dnotua,107,2012-09-05 01:52:44 -> 2018-06-19 01:26:19,107,2018-06-19 01:58:32-2018-08-01 07:50:36,0.4373401534526854,168,223,3
fusob,130,2015-04-03 11:29:51 -> 2015-11-15 11:48:07,130,2015-11-15 11:50:16-2015-11-20 02:38:52,0.43137254901960786,21,30,1
youmi,229,2012-02-09 18:18:09 -> 2012-11-01 01:05:18,229,2012-11-01 03:48:08-2013-05-09 04:10:12,0.3381818181818182,62,213,31
fakeinst,175,2012-01-27 19:40:39 -> 2012-10-14 11:48:45,175,2012-10-14 11:48:46-2013-04-23 19:14:14,0.7407407407407407,2,25,18
smspay,407,2012-02-15 06:34:05 -> 2014-05-31 21:50:47,407,2014-05-31 22:35:15-2015-01-24 14:42:07,0.23100303951367782,16,313,60
artemis,97,2012-01-10 18:07:03 -> 2013-11-14 10:56:21,97,2013-11-14 11:32:47-2013-12-18 18:10:22,0.4435146443514644,84,155,22
airpush,943,2012-01-20 03:29:10 -> 2012-12-02 12:55:01,943,2012-12-02 17:01:26-2013-05-07 04:12:31,0.3159509202453988,52,274,51
secapk,104,2013-09-24 15:09:53 -> 2014-04-03 10:12:10,104,2014-04-03 10:15:15-2014-08-24 16:34:01,0.45454545454545453,25,30,0
hiddenapp,62,2014-07-27 05:06:21 -> 2016-02-07 17:17:26,62,2016-02-14 17:34:26-2016-05-09 14:45:30,0.292,64,186,9
waps,112,2012-01-10 11:47:08 -> 2013-07-29 08:57:59,112,2013-08-01 04:33:03-2013-10-16 04:17:41,0.40329218106995884,57,186,41
kuguo,222,2012-02-06 02:10:13 -> 2012-11-02 21:54:39,222,2012-11-02 22:37:45-2013-08-25 23:59:02,0.3905579399141631,20,213,71
plankton,58,2012-01-06 14:22:47 -> 2012-08-12 04:01:12,58,2012-08-12 10:45:16-2012-09-28 23:44:15,0.35294117647058826,19,151,41
lotoor,52,2012-01-04 09:00:35 -> 2012-09-02 10:23:29,52,2012-09-02 10:23:29-2012-11-07 10:03:50,0.32231404958677684,30,91,9
smsreg,2173,2012-02-10 14:57:04 -> 2014-11-10 16:04:03,2173,2014-11-10 20:13:50-2015-03-20 06:25:12,0.12694877505567928,28,421,29
shedun,395,2014-06-05 07:37:21 -> 2018-06-18 18:35:49,395,2018-06-18 18:36:07-2018-08-03 23:15:37,0.9705882352941176,165,5,0
opfake,141,2012-01-12 12:54:44 -> 2012-11-20 10:15:25,141,2012-11-20 10:17:18-2013-01-17 10:19:59,0.07407407407407407,0,27,2
boxer,302,2012-01-29 21:55:40 -> 2012-06-18 15:04:48,302,2012-06-18 15:04:49-2012-06-18 17:17:26,0.0,0,5,0
wapsx,96,2012-02-09 18:38:37 -> 2013-07-01 16:29:02,96,2013-07-10 04:44:14-2013-08-23 17:24:54,0.425531914893617,54,181,46
utchi,55,2012-11-01 07:49:16 -> 2013-11-04 06:07:21,55,2013-11-04 06:21:09-2013-11-28 09:04:44,0.42857142857142855,12,16,0
adwo,174,2012-01-18 15:56:20 -> 2012-09-26 13:37:34,174,2012-09-26 13:37:53-2012-11-17 17:25:47,0.26720647773279355,35,212,31
appquanta,53,2013-10-21 05:00:42 -> 2013-11-22 09:03:49,53,2013-11-22 09:03:51-2013-12-26 11:16:10,0.07692307692307693,0,13,1
hiddenads,72,2014-08-14 15:07:28 -> 2015-03-30 13:33:47,72,2015-03-31 03:29:28-2016-04-09 15:20:18,1.2301587301587302,5,121,150
smforw,55,2013-05-03 11:50:19 -> 2013-12-29 21:09:17,55,2014-01-06 02:53:22-2014-10-18 06:06:53,0.9770114942528736,3,84,82
admogo,58,2012-02-11 22:16:01 -> 2013-12-12 08:52:01,58,2013-12-12 08:52:11-2013-12-12 13:02:53,0.5384615384615384,126,108,0
